,full_text,created_at
124,"Video Full Debat Panas Mahfud MD vs DPR Bahas Transaksi Janggal Kemenkeu: https://t.co/6LhQoABJAk – Menteri Koordinator Politik, Hukum, dan Keamanan Mahfud MD menghadiri Rapat Dengar Pendapat Umum (RDPU) di Komisi III DPR 

The post Video Full Debat… https://t.co/hfkWiTaINX https://t.co/xHUAggu2tm",2023-03-29 18:30:15+00:00
125,"@vvotanet Pas bangett nihh momennya mumpung dpr vs mahfud md, gass diviralkan bir kyk seventeen🤣",2023-03-30 01:51:26+00:00
126,"DPR vs Mahfud MD skor 0-5

Menurut Rocky Gerung, me-reshuffle Mahfud MD sebagai Menko Polhukam akan membuat kemarahan di ranah publik.

https://t.co/cdTW1Id9qk https://t.co/s3Ypa7BQmz",2023-03-31 05:41:27+00:00
127,DPR. Vs Mahfud md,2023-03-30 05:18:14+00:00
128,"Kapan ne live pak Mahfud MD Vs Komisi 3 DPR RI soal aliran dana 300 T. 
DPR yg sesumbar minta panggil pak Mahfud skrg jgn ada alasan DPR tdk hadir, krn p Mahfud sdh siap hadapi mereka
Sy dukung p Mahfud👍",2023-03-27 10:17:08+00:00
129,"Mobil masuk ke landasan, Isu terkait kemenkeu dan bawahannya dari pajak sampai bea cukai, THR yg ga full 100%

isu melengserkan SMI ini menarik hahaha.

sementara itu banyak yg kemakan buzzer jadi isu Mahfud MD vs DPR",2023-03-29 10:35:33+00:00
130,"@__AnakKolong Bikin poling resmi aj suruh milih DPR vs Mahfud MD ..pasti pak Mahfud menang telak, ya kan😀",2023-04-02 22:41:43+00:00
131,"@mohmahfudmd saksikan semifinal Pak @mohmahfudmd vs Komisi III DPR RI....
prediksi skor 3 - 0 untuk Pak Mahfud MD....",2023-03-26 01:59:39+00:00
132,"@pandji Bagi saya semua drama ini bertujuan untuk mengalihkan isu omnibuslaw dan tppu 349 triliun. Nampaknya akan berhasil, rupanya tuhan punya cara lain. Tempo hari rapat dengar pendapat di dpr. Mahfud md Vs. Everybody. kasus ini pun diperhatikan lagi",2023-03-31 07:23:15+00:00
133,"Bak pertandingan olahraga, rapat Komisi III DPR yang menghadirkan Mahfud Md semalam berlangsung panas, seru, sayang dilewatkan. Berikut rangkuman laporannya. https://t.co/QxEUO6xJfm",2023-03-29 23:51:41+00:00
134,"Di atas Mahfud MD vs DPR, di bawah gontok-gontokan pendukung pildun va pendukung palestina. Istimewa harin ini.",2023-03-29 16:48:40+00:00
135,"Mahfud MD vs Komisi III DPR Soal Transaksi Siluman Rp 349 T Kemenkeu, Siapa Keok? https://t.co/MkgZAj0ZeQ",2023-03-26 15:01:26+00:00
136,"@collegemenfess Sama der nontonin Mahfud MD vs  komisi dpr ternyata seru bett mana Ampe jam 11 malem baru kelar, aslii seru",2023-03-30 11:43:56+00:00
137,"Melihat mahfud md vs DPR di agenda RDP, yg paling penting itu goal nya apa? Bakal terungkap ga tuh TPPU yg ratusan trilyun itu?.. kalau tidak, ini hanya stratgi politik saja.",2023-03-30 12:05:12+00:00
138,"Dari RDP Kom. III vs. Mahfud MD ini, gw jadi dapet gambaran kesehari2an politik kita kalo jadi negara parlementer, langganan aku ke DPR kalo gini, top.",2023-03-29 15:02:21+00:00
139,"Netizen = Rakyat
DPR = Yang mewakili rakyat

Pak Mahfud MD vs DPR 
Kenapa Netizen pada Bela Pak Mahfud MD

Maaf Serius Nanya Pak Menko #MahfudMD ?? Soalnya saya buka puasa kebanyakan minum air es😁",2023-03-31 13:59:09+00:00
140,Simak deh debat pak Mahfud MD vs DPR komisi III. Lihat kualitas para DPR pas diskak pak Mahfud 😂 lebih seru dari debat capres-cawapres,2023-03-30 04:59:15+00:00
