,full_text,created_at,full_tweet,tweet_tokens
93,Link Streaming Rapat Mahfud MD VS Komisi III DPR RI Bahas Transaksi Mencurigakan https://t.co/CQaewDToKq,2023-03-29 08:53:02+00:00,link streaming rapat mahfud md vs komisi iii dpr ri bahas transaksi mencurigakan,"['link', 'streaming', 'rapat', 'mahfud', 'mahfud', 'versus', 'komisi', 'iii', 'drp', 'ri', 'bahas', 'transaksi', 'curiga']"
94,"buka sosmed isinya antara 2, yg ke satu ttg tetekbengek pildun yg ke dua ttg mahfud md vs komisi iii dpr 🌝🤤💔",2023-03-30 12:14:18+00:00,buka sosmed isinya antara yg ke satu ttg tetekbengek pildun yg ke dua ttg mahfud md vs komisi iii dpr,"['buka', 'sosmed', 'isi', 'ttg', 'tetekbengek', 'pildun', 'ttg', 'mahfud', 'mahfud', 'versus', 'komisi', 'iii', 'drp']"
95,Hari ini DPR Vs Mahfud MD Soal Transaksi Janggal Rp349 T  https://t.co/qBegJ6xcOs,2023-03-29 02:55:35+00:00,hari ini dpr vs mahfud md soal transaksi janggal rp ,"['drp', 'versus', 'mahfud', 'mahfud', 'transaksi', 'janggal', 'rupiah']"
96,"Kisah Mahfud MD Vs EveryBody
Terkait Korupsi 349 T di DPR, Keren pak

U-20 | Inisial R | Liverpool | Selamat PSM | Riko | April Mop | Hary Tanoe | ASEAN Data Science https://t.co/K8e6YVfo36",2023-03-31 18:10:25+00:00,kisah mahfud md vs everybody terkait korupsi  di dpr keren pak  inisial  liverpool selamat psm riko april mop hary tanoe asean data science,"['kisah', 'mahfud', 'mahfud', 'versus', 'everybody', 'kait', 'korupsi', 'drp', 'keren', 'inisial', 'liverpool', 'selamat', 'psm', 'riko', 'april', 'mop', 'hary', 'tanoe', 'asean', 'data', 'science']"
97,"Mahfud MD vs Komisi III DPR Soal Transaksi Siluman Rp 349 T Kemenkeu, Siapa Keok?  

https://t.co/wYKRoBi1Km",2023-03-26 15:33:36+00:00,mahfud md vs komisi iii dpr soal transaksi siluman rp  kemenkeu siapa keok,"['mahfud', 'mahfud', 'versus', 'komisi', 'iii', 'drp', 'transaksi', 'siluman', 'rupiah', 'kemenkeu', 'keok']"
98,"Debat panas Arteria Dahlan vs Mahfud MD dan Emil Salim.

Politisi PDIP, Arteria Dahlan sedang ramai dibincangkan oleh warga net usai rapat Komisi III DPR. Pasalnya, sikap yang emosional menyerang balik ke Mahfud MD terkait dana Rp349 triliun. https://t.co/JU6F1cVQMF",2023-03-31 14:33:02+00:00,debat panas arteria dahlan vs mahfud md dan emil salim politisi pdip arteria dahlan sedang ramai dibincangkan oleh warga net usai rapat komisi iii dpr pasalnya sikap yang emosional menyerang balik ke mahfud md terkait dana rp triliun,"['debat', 'panas', 'arteria', 'dahlan', 'versus', 'mahfud', 'mahfud', 'emil', 'salim', 'politis', 'pdip', 'arteria', 'dahlan', 'ramai', 'bincang', 'warga', 'net', 'rapat', 'komisi', 'iii', 'drp', 'pasal', 'sikap', 'emosional', 'serang', 'mahfud', 'mahfud', 'kait', 'dana', 'rupiah', 'triliun']"
99,"Oh ya, selama seminggu tepar di RS kemarin, ada 3 aktivitas yg dilakukan:

- Membaca Psikologi Pendidikan (John Santrock)
- Mengikuti RDPU Mahfud MD vs Komisi III DPR
- Mengikuti pemberitaan pembatalan Piala Dunia.

Jadi, hikmah abis sakit ya kesal dgn 2 berita terakhir. 😅",2023-04-01 13:46:46+00:00,oh ya selama seminggu tepar di rs kemarin ada aktivitas yg dilakukan membaca psikologi pendidikan john santrock mengikuti rdpu mahfud md vs komisi iii dpr mengikuti pemberitaan pembatalan piala dunia jadi hikmah abis sakit ya kesal dgn berita terakhir,"['oh', 'minggu', 'tepar', 'rs', 'kemarin', 'aktivitas', 'baca', 'psikologi', 'didik', 'john', 'santrock', 'ikut', 'rdpu', 'mahfud', 'mahfud', 'versus', 'komisi', 'iii', 'drp', 'ikut', 'berita', 'batal', 'piala', 'dunia', 'hikmah', 'abis', 'sakit', 'kesal', 'berita']"
100,Fyp tiktok berubah menjadi Pak Mahfud MD VS Sekantor DPR 😂,2023-03-30 06:38:45+00:00,fyp tiktok berubah menjadi pak mahfud md vs sekantor dpr,"['fyp', 'tiktok', 'ubah', 'mahfud', 'mahfud', 'versus', 'kantor', 'drp']"
101,Seru banget sih Mahfud MD VS DPR 👍,2023-03-29 15:22:10+00:00,seru banget sih mahfud md vs dpr,"['seru', 'banget', 'mahfud', 'mahfud', 'versus', 'drp']"
102,"Mahfud md vs dpr, U20 batal, sepertinya wakanda perlu di ruqiah",2023-03-29 20:50:20+00:00,mahfud md vs dpr  batal sepertinya wakanda perlu di ruqiah,"['mahfud', 'mahfud', 'versus', 'drp', 'batal', 'wakanda', 'ruqiah']"
103,,2012-11-16 04:58:02+00:00,nan,[]
104,,2014-12-20 03:57:40+00:00,nan,[]
105,,2020-04-15 14:31:17+00:00,nan,[]
106,,2012-10-12 18:48:21+00:00,nan,[]
107,,2020-11-10 08:42:12+00:00,nan,[]
108,,2019-08-23 08:15:07+00:00,nan,[]
109,,2012-03-23 01:09:17+00:00,nan,[]
110,,2018-08-28 14:27:03+00:00,nan,[]
111,,2014-07-08 06:33:36+00:00,nan,[]
112,,2020-03-31 11:12:34+00:00,nan,[]
113,,2013-02-15 08:13:23+00:00,nan,[]
114,,2020-12-17 02:53:19+00:00,nan,[]
115,,2023-03-01 10:27:17+00:00,nan,[]
116,,2020-02-25 02:05:45+00:00,nan,[]
117,,2022-12-16 13:55:55+00:00,nan,[]
118,,2022-08-09 04:46:19+00:00,nan,[]
119,,2022-04-22 01:03:57+00:00,nan,[]
120,,2016-02-29 01:05:51+00:00,nan,[]
121,,2011-09-06 20:47:05+00:00,nan,[]
122,,2019-11-21 11:01:05+00:00,nan,[]
123,"seru bgt nonton live rpd transaksi janggal 349T komisi dpr 3 vs mahfud md, emosi keegoisannya kenceng bgt",2023-03-29 10:01:31+00:00,seru bgt nonton live rpd transaksi janggal  komisi dpr vs mahfud md emosi keegoisannya kenceng bgt,"['seru', 'bgt', 'nonton', 'live', 'rpd', 'transaksi', 'janggal', 'komisi', 'drp', 'versus', 'mahfud', 'mahfud', 'emosi', 'egois', 'kenceng', 'bgt']"
124,"Video Full Debat Panas Mahfud MD vs DPR Bahas Transaksi Janggal Kemenkeu: https://t.co/6LhQoABJAk – Menteri Koordinator Politik, Hukum, dan Keamanan Mahfud MD menghadiri Rapat Dengar Pendapat Umum (RDPU) di Komisi III DPR 

The post Video Full Debat… https://t.co/hfkWiTaINX https://t.co/xHUAggu2tm",2023-03-29 18:30:15+00:00,video full debat panas mahfud md vs dpr bahas transaksi janggal kemenkeu menteri koordinator politik hukum dan keamanan mahfud md menghadiri rapat dengar pendapat umum rdpu di komisi iii dpr the post video full debat,"['video', 'full', 'debat', 'panas', 'mahfud', 'mahfud', 'versus', 'drp', 'bahas', 'transaksi', 'janggal', 'kemenkeu', 'menteri', 'koordinator', 'politik', 'hukum', 'aman', 'mahfud', 'mahfud', 'hadir', 'rapat', 'dengar', 'dapat', 'rdpu', 'komisi', 'iii', 'drp', 'the', 'post', 'video', 'full', 'debat']"
125,"@vvotanet Pas bangett nihh momennya mumpung dpr vs mahfud md, gass diviralkan bir kyk seventeen🤣",2023-03-30 01:51:26+00:00,pas bangett nihh momennya mumpung dpr vs mahfud md gass diviralkan bir kyk seventeen,"['pas', 'bangett', 'nihh', 'momen', 'mumpung', 'drp', 'versus', 'mahfud', 'mahfud', 'gass', 'diviralkan', 'bir', 'seperti', 'seventeen']"
126,"DPR vs Mahfud MD skor 0-5

Menurut Rocky Gerung, me-reshuffle Mahfud MD sebagai Menko Polhukam akan membuat kemarahan di ranah publik.

https://t.co/cdTW1Id9qk https://t.co/s3Ypa7BQmz",2023-03-31 05:41:27+00:00,dpr vs mahfud md skor menurut rocky gerung mereshuffle mahfud md sebagai menko polhukam akan membuat kemarahan di ranah publik,"['drp', 'versus', 'mahfud', 'mahfud', 'skor', 'rocky', 'gerung', 'mereshuffle', 'mahfud', 'mahfud', 'menko', 'polhukam', 'marah', 'ranah', 'publik']"
127,DPR. Vs Mahfud md,2023-03-30 05:18:14+00:00,dpr vs mahfud md,"['drp', 'versus', 'mahfud', 'mahfud']"
